row	stratum	date	ticker	grade	theme	fwd_5d_pct	catalyst_type	catalyst	LABEL	NOTE
1	themed	2026-08-04	AEIS	strong	AI Datacenter Optical Transceivers & Components	2.7	sales_acceleration	AEIS reported Q2 2026 earnings on August 3, 2026, with revenue of $574M (+30% YoY), beating the high end of guidance, alongside record semiconductor revenue (+3		
2	themed	2026-08-04	BLZE	game_changer	Cloud Data Storage & Analytics Infrastructure	3.5	sales_acceleration	Backblaze reported Q2 2026 earnings that exceeded the high end of both revenue and Adjusted EBITDA guidance: revenue of $42.7M (+18% YoY), B2 Cloud Storage reve		
3	themed	2026-08-04	INSP	routine	Medical Device Mean-Reversion & Rotation Recovery	-1.2	policy	INSP reported Q2 2026 revenue of $200.6 million, which represents a 7.6% year-over-year DECLINE, driven by a drop in U.S. revenue amid an evolving coding and re		
4	themed	2026-08-04	LIFE	game_changer	Digital Insurance Distribution & InsurTech Platforms	22.2	sales_acceleration	Ethos Technologies reported Q2 2026 earnings with revenue of $189.6M, representing 113% year-over-year growth — the second consecutive quarter of 100%+ YoY grow		
5	themed	2026-08-05	APPS	strong	Digital Advertising Technology Platforms	16.4	sales_acceleration	Digital Turbine reported fiscal Q1 2027 earnings with revenue of $166.0M (+27% YoY), Non-GAAP Adjusted EBITDA of $42.5M (+69% YoY), and Non-GAAP EPS of $0.19 vs		
6	themed	2026-08-05	KODK	strong	Agricultural Commodities & Agri-Business	4.6	sales_acceleration	Kodak reported Q2 2026 earnings with concrete, verifiable numbers: revenue of $311M (+18% YoY), gross profit of $82M (+61% YoY), gross margin expanding from 19%		
7	themed	2026-08-05	KTOS	strong	Defense Drones & Unmanned Aerial Systems	16.1	sales_acceleration	Kratos reported Q2 2026 earnings with revenues of $458.8M, reflecting 30.5% total growth and 19.1% organic growth YoY, well above typical defense contractor gro		
8	themed	2026-08-06	AEVA	strong	Automotive Electronics & Sensor Components	12.0	new_product	Aeva reported Q2 2026 earnings (8-K Item 2.02, filed Aug 5, 2026) alongside a highly compelling set of business developments: (1) a brand-new Optical Connectivi		
9	themed	2026-08-07	ACMR	strong	Semiconductor Wafer Foundry & Advanced IC Manufacturing	6.0	sales_acceleration	ACMR reported Q2 2026 results with revenue up 36% YoY to $292.9M (vs $215.4M), driven by ECP (+168%) and advanced packaging (+153%) segments, alongside a full-y		
10	themed	2026-08-07	NET	strong	Network Security & Zero-Trust Edge	10.6	sales_acceleration	Cloudflare's Q2 2026 earnings (reported 8/6, gap materializing 8/7) showed revenue accelerating to $696.1M, up 36% y/y (an acceleration vs prior periods), with 		
11	themed	2026-08-07	ONTO	game_changer	Semiconductor Probe Card & Front-End Test Equipment	12.5	sales_acceleration	Onto Innovation reported record Q2 2026 revenue of $343.1M (+35.3% YoY, +18% sequentially), beating the high end of its own non-GAAP guidance across revenue, gr		
12	themed	2026-08-07	QNST	game_changer	Digital Advertising Technology Platforms	5.7	sales_acceleration	QuinStreet's Q4 FY2026 8-K shows a massive beat with acceleration: record quarterly revenue of $373.9M up 43% YoY, GAAP net income up 496% YoY to $19.1M, and Ad		
13	themed	2026-08-10	TH	strong	Robo-Advisor & AI-Driven Wealth Management Platforms	13.0	sales_acceleration	TH reported Q2 2026 results with revenue up 39% YoY to $85.5M and Adjusted EBITDA up more than 5x YoY to $18.2M, and importantly raised FY2026 revenue and Adjus		
14	themed	2026-08-11	BW	game_changer	Nitrogen Fertilizer & Crop Nutrient Producers	15.3	sales_acceleration	BW reported Q2 2026 results beating consensus on all key metrics: revenue of $319.7M (+130% YoY, ahead of street), net income of $14.3M vs a loss of $58.5M a ye		
15	themed	2026-08-11	RIOT	game_changer	Emerging Bitcoin & AI Cloud Compute Miners	9.7	sales_acceleration	"Riot's Q2 2026 earnings release (8-K filed 8/10/26) disclosed a landmark 20-year, 191 MW data center lease with a ""leading frontier AI lab"" at its Rockdale camp"		
16	themed	2026-08-11	SE	strong	Emerging Market Digital Commerce & Fintech Platforms	0.3	sales_acceleration	Today's fresh catalyst is Sea Limited's Q2 2026 earnings release: EPS of $0.70 missed the $0.75 estimate, but revenue of $7.788B beat the $7.063B estimate by a 		
17	themed	2026-08-12	BE	strong	AI Data Center Power Infrastructure	6.8	theme	The gap is driven by a strong Q2 2026 earnings beat: record revenue of ~$1.07B, a swing to profitability, and a raised FY2026 guidance to $3.9B-$4.2B revenue an		
18	themed	2026-08-12	CRWV	strong	AI GPU Compute Infrastructure & Cloud Services	9.1	sales_acceleration	CoreWeave's fresh Q2 2026 8-K/press release (filed 8/11, ahead of today's gap) shows revenue more than doubling YoY to $2.575B from $1.212B, with Adjusted EBITD		
19	themed	2026-08-12	HRB	routine	Tax Preparation & Consumer Financial Software Platforms	0.5	sales_acceleration	HRB reported fiscal 2026 (FY ended June 30, 2026) results with revenue up 4.9% to $3.95B, net income from continuing operations up 20.8% to $736.3M, and EPS fro		
20	themed	2026-08-12	NBIS	strong	Emerging Bitcoin & AI Cloud Compute Miners	8.3	sales_acceleration	Fresh catalyst today is Nebius' Q2 2026 print: revenue of $582.3M beat estimates ($572.7M), continuing the company's rapid AI-infrastructure growth trajectory, 		
21	themed	2026-08-12	WYFI	strong	AI Cloud GPU & Datacenter Colocation Platforms	13.2	management_change	Today's fresh filing is an 8-K disclosing a CFO transition — Erke Huang resigning as CFO/Director (moving to Senior Advisor) and Justin Zhu being appointed as n		
22	themed	2026-08-13	KURA	strong	Clinical-Stage Oncology Drug Development	27.9	sales_acceleration	Kura reported concrete Q2 2026 results with KOMZIFTI net product revenue of $9.1M, up 57% sequentially, and new patient starts up 35% QoQ, achieving majority sh		
23	themed	2026-08-13	OMER	strong	Specialty Pharmaceutical Commercialization & Rare Disease Drugs	8.9	sales_acceleration	Q2 2026 earnings show YARTEMLEA (narsoplimab) gross revenue accelerating dramatically, up 190% QoQ from $11.1M to $32.2M (net revenue $28.5M), and non-GAAP resu		
24	themed	2026-08-14	ETON	game_changer	Specialty Pharmaceutical Commercialization & Rare Disease Drugs	8.7	sales_acceleration	Fresh Q2 2026 earnings (8-K filed 8/13/2026): product sales of $37.6M, up 99% YoY, with a full-year revenue guidance raise from >$120M to >$145M — a substantial		
25	themed	2026-08-14	LPTH	routine	Precision Optics & Photonic Components	2.0	policy	Fresh, dated catalyst: Piper Sandler initiated coverage on LPTH on 2026-08-12 with an Overweight rating and $15 price target, a significant premium to trading l		
26	themed	2026-08-14	STDN	routine	AI Data-Center Power & Physical Infrastructure Buildout	3.5	theme	STDN's gap-up is driven by a cluster of fresh, bullish analyst initiations on 2026-08-10: William Blair (Outperform), RBC Capital (Outperform, $11 PT), BofA Sec		
27	themed	2026-08-14	VERA	game_changer	Clinical-Stage Autoimmune & Inflammatory Disease Therapeutics	5.8	policy	FDA granted accelerated approval of TRUTAKNA (atacicept) for adult IgA nephropathy patients at risk of progression, with alignment on an earlier ORIGIN 3 final 		
28	themed	2026-08-18	AMLX	game_changer	Rare Neurological, Neuromuscular & Genetic Disease Biotech	17.2	policy	Amylyx announced today (8/18/26) that its Phase 3 LUCIDITY trial of avexitide met its primary endpoint, with a 55% reduction in Level 2/3 hypoglycemic events vs		
29	themed	2026-08-19	MRNA	strong	Genomic Medicine & Synthetic DNA Tools	-7.5	sales_acceleration	Today's fresh catalyst is the Phase 3 INTerpath-001 topline results (Merck/Moderna) showing intismeran autogene (individualized neoantigen therapy) plus KEYTRUD		
30	themed	2026-08-19	MRVL	game_changer	AI Chip & Interconnect Supply Chain Enablement	6.4	sales_acceleration	The fresh catalyst is the 8-K/Benzinga disclosure of an expanded commercial agreement between Marvell and Google, under which Marvell will develop a broad suite		
31	themed	2026-08-19	TWST	strong	Genomics & DNA Sequencing Tools	8.8	sales_acceleration	Twist reported Q3 revenue of ~$118.4M and raised FY2026 revenue guidance to $456M-$457M, with a reiterated path to adjusted EBITDA breakeven by Q4 - a concrete 		
32	themed	2026-08-20	RARE	game_changer	Rare & Orphan Disease Biotech	6.3	policy	Fresh, company-specific binary catalyst: on 8/19/2026 Ultragenyx announced FDA accelerated approval of GENGLYCOS (DTX401), its first gene therapy, for glycogen 		
33	themed	2026-08-21	UUUU	strong	Uranium Feedstock & Mining Supply	9.0	new_product	Concrete, fresh operational catalyst: Energy Fuels announced its terbium oxide from White Mesa Mill passed all qualifications for commercial use by one of the w		
34	themed	2026-08-27	CRWD	strong	Network Security & Zero-Trust Edge	2.6	sales_acceleration	CrowdStrike reported fiscal Q2 2027 results (8-K filed 8/26) with revenue of $1.47B beating the $1.44B estimate and EPS of $0.31 vs $0.29 expected, plus a raise		
35	themed	2026-08-27	OKTA	strong	Network Security & Zero-Trust Edge	0.7	sales_acceleration	Okta's Q2 FY2027 earnings (reported 8/26) beat on both revenue ($805M vs ~$793-795M expected) and adjusted EPS ($1.05 vs ~$0.97 expected), and importantly the c		
36	themed	2026-08-27	VEEV	strong	Life Sciences & Healthcare Data/CRM Platforms	3.0	sales_acceleration	VEEV gapped up on a clean Q2 FY2027 beat-and-raise: revenue ~$928M and EPS $2.35 topped estimates, with management raising full-year FY2027 guidance, signaling 		
37	themed	2026-09-03	AGX	game_changer	Electrical Grid & Power Infrastructure Construction (EPC)	8.0	sales_acceleration	Argan reported record Q2 FY2027 results (8-K filed 9/2/26): revenue of $384M, up 61.6% YoY from $237.7M, net income of $53.3M (up from $35.3M), diluted EPS of $		
38	themed	2026-09-03	HOOD	strong	Wealth Management & Retail Brokerage Platforms	0.4	theme	Cluster of bullish analyst actions dated today (Morgan Stanley upgrade to Overweight with PT raised to $150 from $124, Piper Sandler PT raised to $145, Scotiaba		
39	themed	2026-09-03	SNOW	strong	Cloud Data Storage & Analytics Infrastructure	0.1	sales_acceleration	Snowflake reported fresh Q2 FY2027 results (filed 9/2/2026): revenue of $1.55B (+35% YoY), product revenue $1.49B (+37% YoY, marking third consecutive quarter o		
