ticker,alert_date,gap_pct,ep_score,catalyst_quality,catalyst,claude_analysis,user_label,user_notes
AEHR,2026-04-16,18.59,100,strong,"AEHR stock gapped up on a smaller-than-expected Q3 EPS loss of -$0.05 versus -$0.08 forecast, paired with disclosure of a record $50.9M bookings backlog driven by AI demand, including a major $14M follow-on order for AI accelerator processors and silicon-photonics customer wins for FOX-XP systems. Analyst upgrades like Craig Hallum to buy with $68 target added fuel, countering the revenue miss at $10.3M, as the backlog signals a strategic pivot to high-growth AI/data center from weaker EV exposu","Aehr Test Systems won a major contract for its FOX-XP wafer-level burn-in system from a leading hyperscale data center optical interconnect company, directly tied to AI data center growth. This represents a significant, concrete new business win in the high-demand AI semiconductor testing market, which qualifies as a major partnership/contract catalyst that should drive investor confidence in revenue growth and validates the company's technology positioning in a critical growth segment.","game_changer, but Delayed EP","Strong stock and group (RS), a delayed  EP because first day didn't work but there's an undercut below EP low & close on 4/17, 4/28, 4/29 BUT it didn't close below the low, just intraday undercut and recover. If I was watching, the intraday low would be an entry and stop, maybe would've need a couple tries."
AIP,2026-05-13,20.81,115.2,strong,"Arteris Inc (AIP) gapped up ahead of its fiscal Q1 2026 earnings release due May 12, following a multi-month breakout fueled by its MIPS collaboration announcement that drove 60% gains in 30 days. High-margin 92% gross margins in fiscal Q4 2025 and 22% YoY full-year revenue growth to $70.6 million position it as an AI training workloads play in semiconductors, with each GPU cluster needing its IP licenses. A director sold $601k in shares on May 5, but technical momentum and earnings anticipation","Arteris (AIP) reported Q1 2026 earnings with record revenue, delivering a +62.50% EPS beat and +8.70% revenue beat versus estimates. Management highlighted strong demand from AI chips, data center infrastructure, and automotive systems—all secular growth drivers. While the company posted a net loss, the earnings surprise and revenue growth trajectory on a neglected semiconductor IP stock constitutes a strong catalyst for the gap-up.",No EP,"No EP, it's been in consistent uptrend, I don't see EP type entry, maybe a trend following entry on slight pull back to moving averages"
AKAM,2026-05-08,27.37,96,strong,"Akamai Technologies (AKAM) gapped up on strong Q1 2026 earnings reported Thursday, with revenue of $1.074 billion up 6% year-over-year, security revenue up 11% to $590 million, and cloud infrastructure services (CIS) revenue surging 40% to $95 million. Earnings hit $1.61 per share, meeting expectations. Key catalyst was the announcement of a $1.8 billion seven-year CIS commitment from a leading frontier AI model provider, validating Akamai's AI infrastructure role. Shares rose to $116.77, up 34%","Akamai reported Q1 2026 earnings with faster growth in cloud infrastructure services and continued security portfolio demand. The stock is surging after the company announced a major $1.8 billion commitment from a ""leading frontier model provider"" for its cloud infrastructure—a transformative partnership that signals strong validation of Akamai's cloud computing strategy pivot and demonstrates institutional confidence in the platform.",strong,"Earnings are good but ' company announced a major $1.8 billion commitment from a ""leading frontier model provider"" for its cloud infrastructure' is great news aligned with key themes of AI/data center build out"
AMBQ,2026-05-12,18.68,84,strong,"Wedbush upgraded Ambiq Micro (AMBQ) citing edge AI potential and projected Q1 2026 revenue of $23.5 million, up 13.4% sequentially from Q4 2025. This triggered the gap up amid recent oversold RSI and support at $36.1 after an 8% pullback to $38 on high-volume selling. Stock trading near $39.9 resistance with potential bounce on institutional buying.","The news items about AMBQ are vague and lack concrete, verifiable catalysts. The first article mentions a 16.3% jump on ""above-average trading volume"" but provides no specific catalyst—it's a generic post-gap article. The fifth item warns that AMBQ ""doesn't possess the right combination"" for an earnings beat and mentions an upcoming earnings report, but no actual earnings numbers, guidance figures, or announcement details are provided. Without specific earnings data, guidance raises, FDA decisions, or major contract announcements, this appears to be routine gap-up activity on low-quality or fabricated news.",strong,"catalyst is missed on this one, a quick search I found this which is aligned with strong AI theme, Edge is a theme we have.

Q1 2026 saw 59% year-over-year sales growth, driven by strong Edge AI demand and diversification beyond wearables. Guidance calls for continued high growth, with profitability targeted as revenue scales and investments in new products and markets accelerate."
AMD,2026-05-06,19.22,96,game_changer,"AMD stock gapped up due to strong Q1 2026 earnings reported after the close on May 5, beating expectations across the board. Revenue hit $10.25 billion, up 37.8% year-over-year and 3.6% above Wall Street's $9.84 billion consensus. Non-GAAP EPS was $1.37, 5.8% over the $1.28 estimate. Data center revenue drove the beat, fueled by accelerating AI infrastructure demand, with CEO Lisa Su highlighting it as the primary growth engine. Q2 guidance raised to $11.2 billion midpoint, 6.3% above analyst ex","AMD reported Q1 earnings with adjusted EPS of $1.37 vs. consensus estimate of $1.28 (beat), revenue of $10.25B, and beat Q2 guidance expectations. The company delivered an earnings beat combined with a guidance raise, which directly drove the ~17% premarket surge. As a large-cap semiconductor leader with significant AI exposure (Data Center segment), a beat + raise on this scale constitutes a game-changing catalyst for momentum traders.",strong,This is a delayed EP given how it traded
ARRY,2026-05-07,11.32,54.7,strong,"Array (NASDAQ:ARRY) stock gapped up 10.9% to $9.03 after Q1 CY2026 earnings beat revenue expectations by 10.8% at $223.4 million despite a 26.1% year-over-year decline, with non-GAAP EPS of $0.06 significantly topping consensus. Adjusted EBITDA also exceeded estimates, and the company reported a record $2.4 billion orderbook with 2x book-to-bill, driven by new products like OmniTrack and software/services growth. Next quarter guidance of $310 million missed analyst estimates by 20.1%, but analys","Array Technologies reported Q1 2026 earnings that beat revenue expectations, with record $2.4 billion in solar contracts and adjusted earnings of $28.8M. The beat combined with strong order intake, plus the appointment of a new Senior Vice President of Technology to drive next-generation products, provides solid positive momentum for a renewable energy play with improving operational visibility.",routine_mislabeled,
ARX,2026-05-14,17.64,100.8,strong,"ARX (Accelerant Holdings) gapped up 3.43% on the announcement of its Q1 2026 financial results release on May 13, with a conference call scheduled for May 14. The stock movement reflects investor anticipation ahead of earnings disclosure and the earnings call that just occurred today.

This is a standard earnings-driven catalyst. The gap up typically occurs when companies announce strong results or when market sentiment around the earnings event turns positive. Without access to the actual Q1 re","Accelerant Holdings (ARX) reported Q1 2026 earnings with concrete beats: +7.60% EPS surprise and +10.47% revenue surprise. The company delivered stronger-than-expected results and management highlighted continued growth in its specialty insurance platform with expanding third-party insurer participation, suggesting positive guidance direction. This is a solid earnings beat with growth indicators that warrants a ""strong"" classification for an institutional financial services stock.",routine_mislabeled,Earnings is average at best
AXTI,2026-05-01,16.76,84,strong,"AXTI stock gapped down pre-market on April 27, opening at $71.91 after closing at $76.16 the prior day and pulling back to $70.08 on heavy volume of 3 million shares, driven by profit-taking after a 240% rally from its 200-day moving average amid maximum-strength buy signals. No gap up reported recently; the latest catalyst ahead of today's Q1 2026 earnings (after market close) is anticipation of narrowing losses to -$0.06 from -$0.20 year-ago, potential gross margin improvement, and path to $0.","AXT reported Q1 2026 earnings with a significant revenue beat (+2.12% above estimates, reaching $26.9M) and a substantial EPS surprise (+76.91%), combined with evidence of margin improvement and sequential revenue growth (up from $23.0M in Q4 2025). The company is benefiting from strong demand in optical networking and data center connectivity (indium phosphide for 5G/fiber optic applications), a high-growth niche semiconductor market. This concrete earnings beat with margin expansion and positive forward positioning in a growth end-market constitutes a solid catalyst worthy of a gap-up.",strong,"EPS strong, aligned with key hot themes, strong uptrend"
BAND,2026-04-30,18.34,84,strong,No recent news or catalysts found for BAND stock gapping up. Check broader market scans or company filings for potential unlisted drivers like earnings or sector momentum.,"Bandwidth reported Q1 earnings with a swing to profitability: $4.1 million net income vs. a loss in the prior-year period. This represents a concrete earnings beat showing operational improvement. The company transitioned from unprofitable to profitable year-over-year, which is a meaningful catalyst for a neglected cloud communications platform provider.",strong,"catalyst missed earnings, this aligns with key AI themes, this is what i found with quick search on news that day:

BAND Expands Enterprise Footprint With AI Focus

Bandwidth continues to position itself as a critical infrastructure provider for AI-driven communications. A key highlight was its selection as a partner for Salesforce’s Agentforce Contact Center, reinforcing its role in enabling AI-powered customer engagement.

The company also reported strong traction in financial services, securing million-dollar-plus deals with large institutions. These customers are leveraging Bandwidth’s platform to modernize contact centers and integrate AI-driven workflows.

Additionally, a growing ecosystem of AI application developers is building on Bandwidth’s platform, expanding its use cases across industries such as healthcare, hospitality and customer support. This trend is increasing platform usage and driving higher revenue per customer."
BE,2026-04-29,19.13,100,strong,"No specific news or catalyst directly explains a gap up in BE stock (likely Bloom Energy) based on available market data. General gap ups in stocks this week tie to Mag 7 earnings like Alphabet, Microsoft, Amazon, and Meta on Wednesday, plus Fed meeting anticipation and strong macro prints driving broader risk appetite[1]. NXP Semiconductors saw a 16.5% premarket surge on a Q1 beat-and-raise, signaling automotive chip strength, but nothing matches BE[5]. Check real-time scanners for April 29 gap","Bloom Energy reported Q1 2026 earnings with record revenue, a massive +388.89% EPS beat and +50.78% revenue beat versus estimates, coupled with raised guidance from management. Additionally, the company announced a major partnership with Oracle. This combination of material earnings outperformance, guidance raise, and a significant strategic partnership represents a strong catalyst for the gap-up.","strong, delayed EP",requires monitoring and delayed entry
BILL,2026-05-08,10.17,54.7,strong,"BILL Holdings stock gapped up after Q3 2026 earnings beat expectations with EPS of $0.68 versus the $0.55 forecast, a 23.64% surprise. This strong result from the earnings call transcript released this week is the primary catalyst driving the move. Ongoing regulatory hype around the Senate Banking Committee markup this month on the crypto bill, including stablecoin-yield compromises, adds tailwinds for related financial tech plays like BILL. Coinbase's 11.7% weekly surge on similar crypto bill p","BILL Holdings delivered a significant Q3 FY2026 earnings beat with +23.26% EPS surprise and +0.85% revenue surprise, combined with strong year-over-year revenue growth of 13.5% to $406.6M in Q1 CY2026. The concrete beat on both headline metrics, coupled with guidance commentary for upcoming quarters, represents a solid earnings beat catalyst typical of a strong move in a SaaS financial operations platform stock.",routine_mislabeled,
BLMN,2026-05-06,33.33,96,strong,"Bloomin' Brands stock gapped up 23% following a strong Q1 earnings beat. The company reported better-than-expected results that demonstrated traffic recovery and margin leverage. The key catalyst was that investors had priced in much lower expectations for these metrics, creating a significant expectation gap. When the company delivered actual results showing real improvements in both customer traffic and operational margins, the stock surged as the market repriced the company's fundamentals upw","Bloomin' Brands reported Q1 FY2026 earnings that beat revenue expectations and issued stronger-than-expected guidance for the current quarter. The company exceeded Wall Street expectations on both earnings and guidance, with non-GAAP profit of $0.67 and revenue of $1.06 billion. This solid beat plus guidance raise, combined with early progress on the Outback Steakhouse turnaround strategy, qualifies as a strong catalyst for the gap-up move.",strong," mainly due to low expectations; stock had formed a low base, and this large gap above 200d MA, and all other MAs"
