pop|ticker|date|verdict|operator_words|arm|na|rating_1|rating_2|rating_3|modal|stable|garbage3|reason_1|reason_2|reason_3
REAL_EP|HTFL|2026-08-14|REAL_EP||plain|F|ok|bad|ok|ok|F|F|Gap to ~39 clears the 35-37 highs and puts it above all moving averages after a fresh run off the 24 low, but the stock has been choppy and range-bound for years with a flat 200-day, so there's no clean base behind the move.|Choppy, sideways range-bound stock that just bounced off a failed breakout, with no tight base underneath, and the gap to about 39 lands near the 37 to 40 overhead supply after a big run from 24.|Gap to ~39 clears the 36-37 highs and reclaims all the moving averages after a sharp bounce off 24, but it's a choppy, sideways multi-year range with a flat 200-day and the stock is already extended off the low, so no clean base.
REAL_EP|HTFL|2026-08-14|REAL_EP||books|F|bad|bad|ok|bad|F|F|This is a choppy, sideways chart with flat 50/200-day lines, a failed gap-up reversal at 35 not long ago, and a run straight up off the bottom into a gap that lands right in the 37–41 overhead supply from the weekly highs.|This is a choppy, sideways range stock with flat 50 and 200-day averages, it ran straight up off the lows, and the gap lands just under multi-year supply near 40–41, where the last big-volume pop already failed.|The gap clears the whole 8-month chop and the 36–37 highs, but it comes out of a sloppy, whipsawing range with flat 50/200-day lines and a failed climax spike, and the old 40–41 weekly highs sit just overhead.
REAL_EP|PLTR|2026-08-04|REAL_EP||plain|F|bad|bad|bad|bad|T|F|Stock is in a clear downtrend below a falling 200-day and 40-week line, and the gap to ~145 just runs into overhead supply from the last failed rallies rather than breaking out of any tight base.|Gap lands into a downtrend below a falling 200-day and 40-week, straight into overhead supply from the last failed bounces around 140-160, so there's no sound base to launch from.|Stock is in a clear downtrend below a falling 200-day and 40-week, and the gap to ~145 only lifts it into a thick band of overhead supply from prior failed rallies, so this is not a sound base to buy from.
REAL_EP|PLTR|2026-08-04|REAL_EP||books|F|bad|bad|bad|bad|T|F|This is a broken former leader in a stage-4 downtrend below a falling 200-day and 40-week, and the gap lands right into the 140–160 overhead supply, where the last gap-up spike already failed.|This is a broken former leader in a stage-4 downtrend, with lower highs and falling 50/200-day and 40-week lines, and the gap only lifts it into the 140-160 overhead supply while it stays under a declining 200-day.|A broken former leader in a stage-4 downtrend: the gap only reaches the underside of a falling 200-day and 40-week into heavy overhead supply, where the last gap-up to 160 already failed.
REAL_EP|TEAM|2026-08-07|REAL_EP||plain|F|ok|ok|ok|ok|T|F|A constructive bottoming base with higher lows and stacked short-term averages reclaiming the 200-day, but the longer trend is still down and the gap lands right in the overhead supply from the 140–160 breakdown.|The daily turned up nicely with higher lows, stacked rising averages and a push through the 200-day, but the ~30% gap lands right in the overhead supply from the waterfall crash while the weekly trend is still down.|The daily base is building with higher lows, rising short MAs and a push through the 200-day, but the weekly is still a long downtrend and the huge gap lands right in the old breakdown zone near 140-160, where overhead supply waits.
REAL_EP|TEAM|2026-08-07|REAL_EP||books|F|bad|ok|bad|bad|F|F|This is a turnaround bounce in a long weekly downtrend, not a leader: the 200-day and 40-week are still falling, and a roughly 30% gap drops it straight into the 140–160 breakdown zone, full of trapped sellers.|The daily has flipped up with higher lows and rising 10/20/50 lines, and it is reclaiming the 200-day, but it is still a turnaround in a weekly downtrend, and the gap to ~145 runs straight into the overhead supply left by the collapse from 160.|This is a broken stock that fell from about 320 to 60 on the weekly and has only started to base under a falling 40-week, and the gap to about 145 runs straight into heavy overhead supply from the crash zone. That makes it a turnaround bet, not a leader gapping out of sound structure.
REAL_EP|BFLY|2026-06-18|REAL_EP||plain|F|ok|ok|good|ok|F|F|Clean stage-2 uptrend with stacked MAs and the gap clears the highs into new 3-year highs, but it has already run about 40% off the last low in a few weeks, so the gap comes extended from a choppy, wicky base.|The stock is in a healthy uptrend and gapping into new highs with all moving averages rising, but it has already run hard off the last low and trades choppy and wide, so this gap buys an extended move.|Clean stage-2 uptrend with rising MAs and higher lows, already pressing new highs, and the gap to about 7.2 pushes it well clear into blue sky out of a tight base, though it's extended about 20% above yesterday's close.
REAL_EP|BFLY|2026-06-18|REAL_EP||books|F|ok|ok|ok|ok|T|F|Stage-2 uptrend with rising averages and the gap clears prior highs, but it's a loose low-priced stock that already ran hard into the gap, so it opens well extended above its 10- and 50-day.|A stage-2 uptrend with stacked, rising averages, breaking to new highs above the prior 5.7 peak, but this is a loose, low-priced name already up about 45% in five weeks, and the gap puts it far above its 10-day, so it is extended.|Sound stage-2 uptrend with rising MAs and higher lows, and the gap clears the prior highs, but it follows a fast two-week run up the right side, lands about 25% above the 10-day, and this is a volatile, sub-$7 stock.
REAL_EP|MRNA|2026-08-19|REAL_EP||plain|F|ok|ok|good|ok|F|F|The structure is sound, with a rising stage-2 trend and a tight reclaim of the moving averages, but an ~80% gap far above the 85 high is hard to risk-manage and runs straight into old weekly supply around 100–135.|The structure is sound: a stage-2 uptrend above a rising 200-day, with the pullback held and the 50-day reclaimed. But an ~80% gap to 116 is extremely stretched and runs straight into the old weekly breakdown supply at 100–135.|Stage-2 uptrend with rising MAs and a fresh bounce off the 50-day, and the gap blasts clean through the 85 swing high; the main reservation is that an ~80% jump is very extended and runs into old weekly supply around 100-160.
REAL_EP|MRNA|2026-08-19|REAL_EP||books|F|ok|ok|ok|ok|T|F|Sound stage-2 recovery: the pullback held the rising 50-day and reclaimed the short averages, but an ~80% gap lands right into the old weekly crash gap and supply around 100-120, so it is extended into overhead.|Sound stage-2 turn with rising MAs and a higher low, and the gap clears the 85 high. But an ~80% gap to 116 is extremely stretched and opens straight into the old weekly breakdown zone of 100–140 supply.|A sound stage-2 turn off a long weekly base, with a tight reclaim of the rising 50-day, but an ~80% gap lands far above every average and right into the old 100–120 weekly supply, after the last spike to 85 round-tripped fast.
REAL_EP|MU|2026-04-08|REAL_EP||plain|F|bad|bad|bad|bad|T|F|After a nearly 4x parabolic run, the stock just broke below its 50-day on heavy selling. This gap only pops it back into a loose, choppy 400-460 topping range with plenty of overhead supply, which is not a sound base to buy from.|This is a late-stage, parabolic run that just broke the 50-day hard on heavy selling volume, and the gap lands mid-range in a loose, choppy top with overhead supply at 430–470, not out of a tight base.|After a 4-5x run, the stock just broke hard on heavy selling volume, and this gap only puts it back into a choppy 400-450 topping range full of overhead supply rather than out of a tight base.
REAL_EP|MU|2026-04-08|REAL_EP||books|F|bad|bad|bad|bad|T|F|After a roughly 5x run, it just sliced through the 20 and 50-day on the heaviest volume of the move. The gap only lifts it back into a wide, loose, late-stage topping range with overhead supply up to 465, not out of a sound base.|After a parabolic 4x run, the stock sliced through its 20- and 50-day on the heaviest volume of the move, and this gap only reclaims them into a wide, loose topping range with overhead supply up to 460, so it looks like a late-stage bounce, not a fresh base.|After a nearly 5x run, it just sliced the 20 and 50-day on the heaviest volume of the move, so this gap is a reclaim attempt into loose, wide overhead supply at 420–470, not a buy out of a sound base.
REAL_EP|UMC|2026-04-17|REAL_EP||plain|F|ok|ok|ok|ok|T|F|The uptrend is intact and the V-shaped recovery above all the moving averages is strong, but the stock is already up about 25% off the low and gapping straight into overhead supply from the prior blow-off spike near 11-12.5.|Solid uptrend with a clean pullback that held above the 200-day and is already turning back up hard, but the gap to ~11.85 lands right into the prior blow-off spike and heavy supply near 11-12.5, so there's overhead to chew through.|The weekly breakout from a multi-year base is sound and the pullback held above the rising 200-day, but after yesterday's jump this gaps into overhead supply from the 11–12.5 spike top, so it's extended into resistance.
