Output format is unaligned.
Field separator is "	".
Null display is "NULL".
=== Q1 mi_themes history: crypto + AI lineages ===
theme_date	name	source	stage	score	rs_avg	days_active	consecutive_accelerating	parent_theme	tickers	descr
2026-08-04	AI Data Center Infrastructure Buildout	shadow_promoted	Retired	54.3	54.300000000000004	1	0	Cloud Data Storage & Analytics Infrastructure	BTDR,AMRC,BLZE	All three are directly benefiting from explosive AI data center demand: Bitdeer signed a $4.7B 16-year data center lease, Ameresco reported $1.2B of its record $1.8B new project awards driven by data center energy projec
2026-08-05	AI Data Center Infrastructure Buildout	shadow_promoted	Nascent	46.8	46.833333333333336	2	0	NULL	BTDR,AMRC,BLZE	All three are directly benefiting from explosive AI data center demand: Bitdeer signed a $4.7B 16-year data center lease, Ameresco reported $1.2B of its record $1.8B new project awards driven by data center energy projec
2026-08-06	AI Data Center Infrastructure Buildout	live	Retired	0.0	NULL	3	0	Cloud Data Storage & Analytics Infrastructure		Auto-retired 2026-08-06: absorbed/superseded by 'Cloud Data Storage & Analytics Infrastructure' (prior stage Nascent, 3 tickers).
2026-07-20	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	11.6	NULL	3	0	NULL	HUT,CIFR	CIFR, CORZ, HUT, IREN, and WULF are all pure-play Bitcoin miners with correlated price action (corr 0.84) tied directly to Bitcoin price levels and mining economics. While currently at low RS levels, this cluster moves a
2026-07-21	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	9.3	NULL	3	0	NULL	HUT,CIFR	CIFR, CORZ, HUT, IREN, and WULF are all pure-play Bitcoin miners with correlated price action (corr 0.84) tied directly to Bitcoin price levels and mining economics. While currently at low RS levels, this cluster moves a
2026-07-22	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	77.2	94.5	3	0	NULL	CIFR,HUT	HUT is being driven higher by its announcement of a second 15-year, $9.8 billion AI data center lease at its Beacon Point campus in Texas, which fully commercializes the 1 GW site and doubles contracted IT capacity. That
2026-07-23	Bitcoin Mining & Crypto Infrastructure Operators	live	Accelerating	79.0	97.9	4	1	NULL	CIFR,HUT	CIFR and HUT are being driven higher this week primarily by a sector-wide re-rating of Bitcoin miners pivoting to AI/HPC data center infrastructure after Hut 8’s new $9.8 billion Beacon Point lease and IREN’s multi-year 
2026-07-24	Bitcoin Mining & Crypto Infrastructure Operators	live	Accelerating	76.8	93.5	5	2	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-27	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	61.4	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-28	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	49.2	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-29	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	39.3	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-30	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	31.5	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-31	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	25.2	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-08-03	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	72.5	84.9	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
2026-08-05	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	58.0	NULL	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
2026-08-06	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	46.4	NULL	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
(16 rows)
=== Q2 audit rows 08-03..08-07 naming the lineages or the five tickers ===
et_ts	event_type	summary	detail
2026-08-03 17:00:37	ticker_revalidated_out	BLZE removed from 'AI data center infrastructure buildout' by validation	Description: 'Technology / Software - Infrastructure — Cloud storage & data backup services' — validation (claude-sonnet-4-6) flagged as not matching theme
2026-08-03 17:00:37	validation_cooldown_triggered	BLZE → 'AI data center infrastructure buildout' cooldown 14d (removal #1)	Description: 'Technology / Software - Infrastructure — Cloud storage & data backup services'
2026-08-03 17:00:37	theme_dissolved_flagged_pair	Arm A dissolve: 'AI data center infrastructure buildout' — validation flagged BLZE at 2 members	via=validation flagged=['BLZE'] survivors=['MPWR'] (survivor released, no cooldown — ADR 0025 Arm A)
2026-08-03 17:00:47	theme_stage_flip_held	Bitcoin Mining & Crypto Infrastructure Operators: Fading→Accelerating held; y_Δ=-24.8	
2026-08-03 17:04:17	advisor_call	[discovery] Cluster B shows 26 gold/precious metals stocks (AG, AGI, AU, CDE, CGAU, EGO, EQX, EXK, FNV, FSM, GFI, HL, HMY, HYMC, IAG	Q: Cluster B shows 26 gold/precious metals stocks (AG, AGI, AU, CDE, CGAU, EGO, EQX, EXK, FNV, FSM, GFI, HL, HMY, HYMC, IAG, KGC, NEM, NG, OR, PAAS, PPTA, RGLD, SBSW, SSRM, WPM) with corr 0.82, avg RS 22. Several rotation candidates (HMY RS 60, FNV RS 38, OR RS 27, RGLD RS 27, SBSW RS 24) are in 3-4 week upstreaks. Gold price hitting all-time highs is the catalyst. Should I propose a Gold & Precious Metals Miners/Royalties theme? The avg RS is low (22) but the rotation signal is strong. Also: should I split miners from royalty streamers (FNV, RGLD, WPM, OR) as a separate sub-theme? |  | Context: Rotation candidates from precious metals: HMY (RS 60, 3wk streak from RS 17), FNV (RS 38, 3wk streak from RS 14), OR (RS 27, 3wk streak from RS 3), RGLD (RS 27, 3wk streak from RS 8), SBSW (RS 24, 4wk streak from RS 2). Correlation cluster B has 26 stocks all moving together. The Copper Mining th
2026-08-03 17:05:35	theme_retired	Retired: AI data center infrastructure buildout	Last tickers: BLZE, FLNC, MPWR
2026-08-03 17:05:35	theme_score_ties	11 score-tie group(s) after stage 'after_merge_1'	stage=after_merge_1 | score=78.0: ['Cinema Exhibition & Premium Large-Format Recovery', 'Specialty Pharmaceutical Commercialization & Rare Disease Drugs'] | score=76.5: ['China Consumer Internet & Digital Marketplace Platforms', 'Inflammatory Disease & Immunology Biologics'] | score=76.2: ['Corporate Spend, Expense Management & Financial Operations Software', 'Dermatology & Atopic Immunology Biologics', 'Digital Payments Processing & Merchant Acquiring Networks'] | score=75.2: ['AI-Powered Enterprise Analytics & Intelligent Workflow SaaS', 'B2B Digital Financial Infrastructure & Payment Rails Modernization', 'Franchise Auto Dealership Groups', 'Professional Advisory & Business Services'] | score=72.9: ['Commercial Real Estate Brokerage & Advisory Services', 'Department Store Retail Recovery'] | score=72.7: ['Life Insurance & Annuity Providers', 'Life Science Tools & Analytical Instrument
2026-08-03 17:05:35	theme_score_ties	11 score-tie group(s) after stage 'after_cap_1'	stage=after_cap_1 | score=78.0: ['Cinema Exhibition & Premium Large-Format Recovery', 'Specialty Pharmaceutical Commercialization & Rare Disease Drugs'] | score=76.5: ['China Consumer Internet & Digital Marketplace Platforms', 'Inflammatory Disease & Immunology Biologics'] | score=76.2: ['Corporate Spend, Expense Management & Financial Operations Software', 'Dermatology & Atopic Immunology Biologics', 'Digital Payments Processing & Merchant Acquiring Networks'] | score=75.2: ['AI-Powered Enterprise Analytics & Intelligent Workflow SaaS', 'B2B Digital Financial Infrastructure & Payment Rails Modernization', 'Franchise Auto Dealership Groups', 'Professional Advisory & Business Services'] | score=72.9: ['Commercial Real Estate Brokerage & Advisory Services', 'Department Store Retail Recovery'] | score=72.7: ['Life Insurance & Annuity Providers', 'Life Science Tools & Analytical Instruments'
2026-08-03 17:06:07	theme_auto_retired	Auto-retired 6 theme(s) dropped during merge passes (1 with successor pointer)	'AI data center infrastructure buildout' -> parent='(unknown)' | 'Defense Precision Components & Mission-Critical Subsystems' -> parent='(unknown)' | 'Domestic Steel Producers' -> parent='U.S. Domestic Steel Producers' | 'Korean Financial Sector Recovery' -> parent='(unknown)' | 'Powersports & Recreational Vehicle Manufacturers' -> parent='(unknown)' | 'Precious Metals Miners & Royalty Streamers' -> parent='(unknown)'
